Graphics v 0.2.5 ';' exported '2021-12-21 11:44:57'
;Record #0;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
1.47;96.0824;0;0;400.129;15.4936;22.1963;
1.47333;96.0707;0;0;399.849;14.5633;22.1943;
1.47667;96.0766;0;0;398.139;14.7949;22.1904;
1.48;96.0766;0;0;399.568;14.265;22.1884;
1.48333;96.0766;0;0;400.002;14.8852;22.1884;
1.48667;96.0805;0;0;399.951;14.8911;22.1865;
1.49;96.0962;0;0;397.757;15.0088;22.1845;
1.49333;96.1021;0;0;398.905;15.3189;22.1845;
1.49667;96.0962;0;0;400.129;15.1325;22.1825;
1.5;96.0981;0;0;402.043;15.7095;22.1845;
1.50333;96.0844;0;0;402.451;15.0775;22.1825;
1.50667;96.0766;0;0;399.568;15.5172;22.1825;
1.51;96.0746;0;0;399.721;14.632;22.1943;
1.51333;96.0667;0;0;398.42;15.052;22.2022;
1.51667;96.0805;0;0;400.002;14.5417;22.212;
1.52;96.0824;0;0;400.308;15.1246;22.2179;
1.52333;96.0962;0;0;400.385;14.7615;22.2218;
1.52667;96.0962;0;0;399.492;15.1874;22.2257;
1.53;96.0962;0;0;399.9;15.1737;22.2296;
1.53333;96.0922;0;0;401.15;15.3189;22.2257;
1.53667;96.0962;0;0;402.681;15.5368;22.2218;
1.54;96.0824;0;0;403.166;15.0932;22.2159;
1.54333;96.0883;0;0;399.39;15.4818;22.2139;
1.54667;96.0824;0;0;399.568;14.6595;22.212;
1.55;96.0844;0;0;398.292;14.9813;22.208;
1.55333;96.1021;0;0;400.181;14.4789;22.208;
1.55667;96.104;0;0;400.487;15.1266;22.2022;
